Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Fiscal,2015,6,General Administration & Finance,CON,Controller,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1054,IS Business Analyst-Principal,28395,127635.61,0,0,127635.61,28003.25,12500.56,10143.19,50647,178282.61
Fiscal,2016,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1450,Executive Secretary 1,40804,75146.49,0,0,75146.49,13984.76,12919.17,6056.68,32960.61,108107.1
Fiscal,2016,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,9261,24048.88,12644.43,2070.3,38763.61,4720.48,4933.48,3300.22,12954.18,51717.79
Calendar,2013,6,General Administration & Finance,ETH,Ethics Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1823,Senior Administrative Analyst,28140,99770.5,0,0,99770.5,19612.02,12918.24,8099.88,40630.14,140400.64
Calendar,2014,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,29240,111640.49,46628.54,17100.42,175369.45,26202.8,15816.57,2921.26,44940.63,220310.08
Calendar,2014,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,23361,69115.2,26883.23,2867.4,98865.83,15172.59,10996.27,7684.56,33853.42,132719.25
Calendar,2013,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,33144,53651.4,0,24,53675.4,11270.51,12918.25,4352.38,28541.14,82216.54
Fiscal,2013,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,47110,7253.75,0,106.08,7359.83,0,2154.15,577.25,2731.4,10091.23
Calendar,2014,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,8170,10643.02,0,388.09,11031.11,14912.63,947.36,0.06,15860.05,26891.16
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,8027,4852.41,0,81.48,4933.89,0,1852.04,382.5,2234.54,7168.43
Fiscal,2014,4,Community Health,DPH,Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2800,Public Health,2822,Health Educator,10005,89868.63,0,0,89868.63,19160.05,12512.55,7243.79,38916.39,128785.02
Fiscal,2014,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,17990,105179.7,0,18431.56,123611.26,0,9073.39,6792.87,15866.26,139477.52
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,20403,6842.01,0,845.96,7687.97,1371.27,2965.75,633.36,4970.38,12658.35
Fiscal,2014,6,General Administration & Finance,ADM,General Services Agency - City Admin,790,"SEIU - Miscellaneous, Local 1021",1300,Pub Relations & Spec Assts,1324,Customer Service Agent,24224,65559.65,0,2408.15,67967.8,14090.3,12494.57,5604.09,32188.96,100156.76
Calendar,2014,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1823,Senior Administrative Analyst,36928,40218,0,0,40218,9020.87,5523.24,3299.63,17843.74,58061.74
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",1400,"Clerical, Secretarial & Steno",1429,Nurses Staffing Assistant,35417,57538.2,356.24,6381.39,64275.83,14016.91,12452.66,4953.95,31423.52,95699.35
Fiscal,2013,1,Public Protection,DAT,District Attorney,311,Municipal Attorneys' Association,8100,Legal & Court,8182,"Head Atty, Civil & Criminal",20896,132819.53,0,937.5,133757.03,23577.66,10093.71,7981.09,41652.46,175409.49
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5290,Transit Planner 4,41304,117326.19,0,0,117326.19,25741.33,11778.84,9528.53,47048.7,164374.89
Calendar,2013,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2400,"Lab, Pharmacy & Med Techs",2454,Clinical Pharmacist,32168,161757.05,0,0,161757.05,30976.26,12918.24,10116.62,54011.12,215768.17
Fiscal,2013,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9104,Transit Car Cleaner Asst Sprv,4556,64558,19534.03,11587.06,95679.09,13530.46,12801.79,7859.2,34191.45,129870.54
Calendar,2013,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,45457,95395.6,910.98,13559.1,109865.68,20837.42,12918.24,1852.25,35607.91,145473.59
Calendar,2014,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3209,Swimming Instructor,23615,2197.01,0,4.67,2201.68,0,706.15,603.31,1309.46,3511.14
Calendar,2015,6,General Administration & Finance,CAT,City Attorney,790,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1222,Sr Payroll & Personnel Clerk,33697,66967.02,0,0,66967.02,13774.61,12424.5,5489,31688.11,98655.13
Fiscal,2014,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,2040,116584,269.75,1078.86,117932.61,23856.36,12464.6,1918.82,38239.78,156172.39
Fiscal,2016,5,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8226,Museum Guard,11928,41121.96,9545.74,3813.47,54481.17,8184.5,8958.12,4293.93,21436.55,75917.72
Fiscal,2013,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,7228,118898.02,6816.17,3677.15,129391.34,21201.96,12801.79,1939,35942.75,165334.09
Calendar,2015,2,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",6100,Health & Sanitation Inspection,6115,Wastewater Control Inspector,37633,96254.08,3345.58,0,99599.66,19838.21,12424.5,8125.17,40387.88,139987.54
Calendar,2014,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,29650,26884.84,0,6375.38,33260.22,0,2530.21,2575.01,5105.22,38365.44
Calendar,2014,4,Community Health,DPH,Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1600,"Payroll, Billing & Accounting",1652,Accountant II,44405,78524.02,0,0,78524.02,17160.84,13054.94,6451.58,36667.36,115191.38
Fiscal,2014,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1600,"Payroll, Billing & Accounting",1654,Accountant III,11313,93895.74,0,0,93895.74,20018.64,12506.57,7594.4,40119.61,134015.35
Fiscal,2013,6,General Administration & Finance,CPC,City Planning,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5291,Planner 3,29983,6294,0,0,6294,0,984.75,487.28,1472.03,7766.03
Fiscal,2015,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H020,"Lieutenant, Fire Suppression",42725,129725.54,290.98,23097.11,153113.63,31384.39,15086.88,2549.58,49020.85,202134.48
Fiscal,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",2900,Human Services,2903,Eligibility Worker,30894,13139.2,7429.29,300,20868.49,2705.11,3065.27,1666.71,7437.09,28305.58
Fiscal,2014,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,39510,115799.3,4354.4,5944.44,126098.14,23695.79,12380.71,2081.37,38157.87,164256.01
Fiscal,2016,6,General Administration & Finance,REG,Elections,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1402,Junior Clerk,11812,736.85,666.18,0,1403.03,0,227.58,108.9,336.48,1739.51
Fiscal,2014,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,4178,85172,2394.34,1353.94,88920.28,16083.52,12512.55,1107.18,29703.25,118623.53
Fiscal,2014,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,14986,80938.8,9982.45,8756.32,99677.57,18384.27,12512.56,8078.24,38975.07,138652.64
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,34616,39809.74,6802.87,1533.37,48145.98,10810.91,12074,3650.82,26535.73,74681.71
Calendar,2013,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8302,Deputy Sheriff 1,48442,7990.5,0,0,7990.5,1703.59,1674.58,618.07,3996.24,11986.74
Fiscal,2014,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q002,Police Officer,51976,38745.9,0,62.4,38808.3,8079.88,6040.54,2983.59,17104.01,55912.31
Fiscal,2015,1,Public Protection,SHF,Sheriff,790,"SEIU - Miscellaneous, Local 1021",1900,Purchasing & Storekeeping,1934,Storekeeper,24010,49563.8,0,0,49563.8,12787.46,12500.56,4020.73,29308.75,78872.55
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,41690,116430.24,1356.25,7892.94,125679.43,21158.21,11048.61,9462.5,41669.32,167348.75
Fiscal,2016,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5201,Junior Engineer,49432,61341.53,0,0,61341.53,11415.68,10649.52,4960.69,27025.89,88367.42
Fiscal,2015,1,Public Protection,FIR,Fire Department,799,"Firefighters - Chiefs/Fire Boat Workers, Local 798",H000,Fire Services,H110,Marine Engineer Of Fire Boats,16745,148121.12,32674.21,24863.2,205658.53,35834.63,15086.88,3462.27,54383.78,260042.31
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,45007,68209.17,10314.62,4176.18,82699.97,21500.34,13658.83,6336.22,41495.39,124195.36
Fiscal,2015,6,General Administration & Finance,CPC,City Planning,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5277,Planner 1,1978,8024.01,0,0,8024.01,1799.79,1628.43,638.24,4066.46,12090.47
Calendar,2013,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",2900,Human Services,2905,Senior Eligibility Worker,45091,50760.22,0,438.38,51198.6,9655.1,8739.25,4210.42,22604.77,73803.37
Fiscal,2016,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,39669,1002.13,0,16.4,1018.53,0,397.49,79.06,476.55,1495.08
Calendar,2014,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,13814,54703,326.55,3510.45,58540,12091.38,13054.94,4743.31,29889.63,88429.63
Calendar,2013,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",2900,Human Services,2905,Senior Eligibility Worker,9420,45113.99,0,389.61,45503.6,8437.39,7767.16,3720.4,19924.95,65428.55
Calendar,2013,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,26278,8220.48,0,35.74,8256.22,0,2915.58,639.2,3554.78,11811
Fiscal,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",1800,"Budget, Admn & Stats Analysis",1822,Administrative Analyst,48833,68857.74,0,0,68857.74,15444.79,10249.49,5411.68,31105.96,99963.7
Fiscal,2015,2,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5201,Junior Engineer,8824,32285.96,0,0,32285.96,7241.72,4544.02,2603.38,14389.12,46675.08
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,32170,15148.09,1427.04,392.4,16967.53,3935.3,4781.69,1295.53,10012.52,26980.05
Calendar,2013,1,Public Protection,JUV,Juvenile Probation,790,"SEIU - Miscellaneous, Local 1021",8300,Correction & Detention,8321,"Counselor, Log Cabin Ranch",9288,0,0,618.13,618.13,0,0,8.96,8.96,627.09
Fiscal,2013,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,6,"Electrical Workers, Local 6",7200,Supervisory-Labor & Trade,7238,Electrician Supervisor 1,35719,103116.06,743.63,434,104293.69,18339.26,12801.74,8719.08,39860.08,144153.77
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2500,Med Therapy & Auxiliary,2586,Health Worker 2,5664,50051.99,615.31,200,50867.3,9478.43,12087.01,4128.34,25693.78,76561.08
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",9700,Community Development,9703,Emp & Training Spec 2,48847,81776.08,0,624,82400.08,16983.28,12424.5,6580.98,35988.76,118388.84
Fiscal,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,26296,7340.5,0,150,7490.5,1680.11,1658.36,612.24,3950.71,11441.21
Fiscal,2014,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,38,"Plumbers and Pipefitters, Local 38",7300,Journeyman Trade,7316,Water Service Inspector,249,97370.91,0,0,97370.91,20759.49,12511.04,7959.26,41229.79,138600.7
Fiscal,2016,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",5200,Professional Engineering,5264,Airport Noise Abatement Spec,42630,60582,0,0,60582,11274.38,11422.73,4887.43,27584.54,88166.54
Fiscal,2014,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q052,Sergeant 3,345,138645.57,8028.74,10521.3,157195.61,28340.14,12524.53,2518.32,43382.99,200578.6
Calendar,2013,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,48133,45140.51,6708.53,1046.05,52895.09,7808.88,12224.49,4006.86,24040.23,76935.32
Fiscal,2014,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5241,Engineer,35792,117039.55,0,9393.54,126433.09,24367.63,9827.88,8593.96,42789.47,169222.56
Fiscal,2016,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,351,Municipal Executive Association - Miscellaneous,900,Management,931,Manager III,4050,0,0,18496.8,18496.8,0,0,1415,1415,19911.8
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3208,Pool Lifeguard,2526,4722.58,0,78.92,4801.5,0,1563.51,372.11,1935.62,6737.12
Calendar,2013,1,Public Protection,JUV,Juvenile Probation,535,"SEIU - Human Services, Local 1021",9700,Community Development,9706,Employment & Training Spec 5,52007,2119.28,0,0,2119.28,0,319.97,164.08,484.05,2603.33
Calendar,2013,6,General Administration & Finance,CPC,City Planning,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1823,Senior Administrative Analyst,13494,99770.57,0,0,99770.57,19612.08,12918.24,8208.34,40738.66,140509.23
Fiscal,2016,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q061,Lieutenant 2,34459,158513.79,62637.84,15892.13,237043.76,28124.45,13156.1,4037.86,45318.41,282362.17
Calendar,2013,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1824,Pr Administrative Analyst,34386,115478.5,0,0,115478.5,22122.44,12918.24,9382.18,44422.86,159901.36
Fiscal,2014,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9124,Sr Transit Information Clerk,35097,55466.06,0,7067.28,62533.34,11934.24,10199.4,5125.67,27259.31,89792.65
Calendar,2014,3,Human Welfare & Neighborhood Development,CSS,Child Support Services,790,"SEIU - Miscellaneous, Local 1021",8100,Legal & Court,8159,Child Support Officer III,5954,90185.06,0,0,90185.06,19709.53,13054.94,7367.11,40131.58,130316.64
Fiscal,2014,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,159,25800,0,0,25800,3073.34,10307.28,2017.74,15398.36,41198.36
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",2900,Human Services,2917,Program Support Analyst,5315,104811.01,0,0,104811.01,21601.92,12424.5,8625.26,42651.68,147462.69
Fiscal,2014,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2600,Dietary & Food,2606,Senior Food Service Worker,45156,8917.7,0,183.49,9101.19,2258.92,2253.22,750.42,5262.56,14363.75
Fiscal,2016,4,Community Health,DPH,Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1823,Senior Administrative Analyst,41867,80232.2,0,0,80232.2,14931.22,12170.95,6486.85,33589.02,113821.22
Fiscal,2015,3,Human Welfare & Neighborhood Development,CSS,Child Support Services,790,"SEIU - Miscellaneous, Local 1021",8100,Legal & Court,8158,Child Support Officer II,4049,76515.01,0,0,76515.01,17162.28,12363.69,5989.21,35515.18,112030.19
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q002,Police Officer,28095,80949.91,7642.3,4638.31,93230.52,16730.82,12424.5,1553.91,30709.23,123939.75
Fiscal,2015,4,Community Health,DPH,Public Health,38,"Plumbers and Pipefitters, Local 38",7300,Journeyman Trade,7347,Plumber,37159,99719.33,729.29,2180,102628.62,22856.05,12500.56,7968.61,43325.22,145953.84
Fiscal,2013,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,35187,116584,1276.89,3502.4,121363.29,20792.2,12801.79,2043.71,35637.7,157000.99
Fiscal,2013,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,21098,61490.04,0,0,61490.04,11197.41,12801.79,4907.68,28906.88,90396.92
Fiscal,2015,4,Community Health,DPH,Public Health,351,Municipal Executive Association - Miscellaneous,900,Management,931,Manager III,13224,85883.19,0,816.86,86700.05,19021.98,7854.75,10590.59,37467.32,124167.37
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,22920,56531,0,2689.07,59220.07,12932.18,12424.5,4855.69,30212.37,89432.44
Fiscal,2016,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,18283,69617.38,15651.22,5873.81,91142.41,18170.43,13970.34,7070.24,39211.01,130353.42
Fiscal,2015,6,General Administration & Finance,BOS,Board of Supervisors,22,"Prof & Tech Engineers - Personnel, Local 21",1800,"Budget, Admn & Stats Analysis",1835,Legislative Assistant,37261,2543.2,0,0,2543.2,0,383.15,196.9,580.05,3123.25
Calendar,2013,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,130,"Automotive Machinists, Local 1414",7300,Journeyman Trade,7381,Automotive Mechanic,29449,79213.04,0,9753.01,88966.05,17401.37,12906.83,7321.94,37630.14,126596.19
Calendar,2013,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8306,Senior Deputy Sheriff,53558,105721.22,7994.65,11248.7,124964.57,22359.79,12918.24,2056.5,37334.53,162299.1
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,44675,147176.32,897.6,17339.04,165412.96,31635.9,12264.84,10551.57,54452.31,219865.27
Calendar,2013,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,130,"Automotive Machinists, Local 1414",7300,Journeyman Trade,7313,Automotive Machinist,444,26856,0,0,26856,5725.71,4306.1,2219.16,12250.97,39106.97
Fiscal,2016,1,Public Protection,FIR,Fire Department,799,"Firefighters - Chiefs/Fire Boat Workers, Local 798",H000,Fire Services,H040,"Battlion Chief, Fire Suppressi",11202,0,0,146462.22,146462.22,0,0,2123.7,2123.7,148585.92
Fiscal,2016,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",1700,Computer Operatns & Repro Svcs,1704,Communications Dispatcher 1,43343,17179.47,75.95,930.78,18186.2,3982.43,3940.59,1483.18,9406.2,27592.4
Fiscal,2014,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,21242,12489.55,0,350.44,12839.99,0,3487.7,994.08,4481.78,17321.77
Calendar,2013,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2500,Med Therapy & Auxiliary,2587,Health Worker 3,52516,65448,0,648,66096,12987.69,12918.24,6033.98,31939.91,98035.91
Fiscal,2013,5,Culture & Recreation,LIB,Public Library,790,"SEIU - Miscellaneous, Local 1021",3600,Library,3602,Library Page,2212,40803.86,0,1409.05,42212.91,8742.3,11075.39,3553.76,23371.45,65584.36
Fiscal,2014,6,General Administration & Finance,REG,Elections,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1404,Clerk,17750,16097.61,1116.98,0,17214.59,0,4731.16,1332.76,6063.92,23278.51
Fiscal,2013,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3286,Recreation Coordinator,15135,59124.01,0,0,59124.01,10766.6,12801.79,4723.4,28291.79,87415.8
Fiscal,2013,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,15415,27922.5,0,4064.3,31986.8,2359.71,0,7840.52,10200.23,42187.03
Calendar,2013,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,1457,4797.84,0,254.22,5052.06,0,1384.52,391.13,1775.65,6827.71
Calendar,2014,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9110,Fare Collections Receiver,52616,60771.02,10449.11,3010.46,74230.59,13456.26,13054.94,5629.92,32141.12,106371.71
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",2900,Human Services,2916,Social Work Specialist,28723,76509.41,0,0,76509.41,15751.96,12424.5,6224.45,34400.91,110910.32
Calendar,2013,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H030,"Captain, Fire Suppression",42008,32166.82,0,3457.61,35624.43,6309.09,2816.48,605.58,9731.15,45355.58
Fiscal,2013,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1632,Senior Account Clerk,33095,35802.47,682.39,0,36484.86,1401.54,8016.51,2804.85,12222.9,48707.76
Fiscal,2015,2,"Public Works, Transportation & Commerce",HHP,PUC Hetch Hetchy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5382,"Stdntdsgntrain3, Arch/Eng/Plng",7070,3838.6,0,0,3838.6,0,814.2,297.19,1111.39,4949.99
Calendar,2013,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",5300,Sub-Professional Engineering,5322,Graphic Artist,7218,15932.11,0,1630.15,17562.26,0,3301.33,1383.17,4684.5,22246.76
Fiscal,2016,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",1200,Personnel,1202,Personnel Clerk,19190,46406.06,0,0,46406.06,8636.17,9822.74,3601.6,22060.51,68466.57
Fiscal,2013,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2500,Med Therapy & Auxiliary,2588,Health Worker 4,24206,60750,0,540,61290,11160.9,11078.47,4688.2,26927.57,88217.57
Fiscal,2013,2,"Public Works, Transportation & Commerce",HHP,PUC Hetch Hetchy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1042,IS Engineer-Journey,28684,94087.74,0,0,94087.74,17133.34,12801.79,7683.11,37618.24,131705.98
Fiscal,2014,3,Human Welfare & Neighborhood Development,RNT,Rent Arbitration Board,323,Members of Boards and Commissions,900,Management,112,"Bdcomm Mbr, Grp3,M=$50/Mtg",31671,630,0,0,630,0,0,49.78,49.78,679.78
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7308,Cable Splicer,13766,84781,6122.22,0,90903.22,17109.17,10035.17,7277.5,34421.84,125325.06
Calendar,2014,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8201,School Crossing Guard,10277,8500.98,0,0,8500.98,0,0,671.57,671.57,9172.55
Fiscal,2014,2,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,38,"Plumbers and Pipefitters, Local 38",6200,Public Safety Inspection,6242,Plumbing Inspector,28302,107941.84,157.06,4205.89,112304.79,23349.17,12512.55,8966.45,44828.17,157132.96
Fiscal,2015,5,Culture & Recreation,ART,Arts Commission,790,"SEIU - Miscellaneous, Local 1021",3500,Museum & Cultural Affairs,3549,Arts Program Assistant,30717,31682.19,0,115.27,31797.46,7106.3,6426.23,2303.23,15835.76,47633.22
Fiscal,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",1800,"Budget, Admn & Stats Analysis",1822,Administrative Analyst,29850,43884.46,0,0,43884.46,9843.32,7375.8,3511.58,20730.7,64615.16
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,45464,144706,635.93,43852.96,189194.89,35501.85,12424.5,5656.58,53582.93,242777.82
